# Reporte de Contaminación Atmosférica
# Generado: 2026-01-18 18:19:58
# Zonas: 5, Días: 30
# Contaminantes: CO2,SO2,NO2,PM2.5
# Límites OMS: 80.00,40.00,40.00,30.00
#
Zona_ID,Zona_Nombre,Fecha,CO2_Valor,SO2_Valor,NO2_Valor,PM2.5_Valor,CO2_Tendencia,SO2_Tendencia,NO2_Tendencia,PM2.5_Tendencia,CO2_Dias_Consecutivos,SO2_Dias_Consecutivos,NO2_Dias_Consecutivos,PM2.5_Dias_Consecutivos,Factor_Zona
1,"Centro Urbano",2025-12-22,90.98,34.75,61.94,67.51,1,-1,-1,1,2,1,1,2,1.50
1,"Centro Urbano",2025-12-23,86.78,36.85,56.69,66.46,-1,1,-1,-1,1,1,2,1,1.50
1,"Centro Urbano",2025-12-24,90.56,38.11,61.73,62.68,1,1,1,-1,1,2,1,2,1.50
1,"Centro Urbano",2025-12-25,88.46,40.21,57.53,64.78,-1,1,-1,1,1,3,1,1,1.50
1,"Centro Urbano",2025-12-26,86.36,42.31,56.48,61.63,-1,1,-1,-1,2,4,2,1,1.50
1,"Centro Urbano",2025-12-27,89.51,47.56,51.23,64.78,1,1,-1,1,1,5,3,1,1.50
1,"Centro Urbano",2025-12-28,84.47,52.60,53.75,63.52,-1,1,1,-1,1,6,1,1,1.50
1,"Centro Urbano",2025-12-29,79.22,49.45,52.70,59.32,-1,-1,-1,-1,2,1,1,2,1.50
1,"Centro Urbano",2025-12-30,84.47,53.65,56.90,63.52,1,1,1,1,1,1,1,1,1.50
1,"Centro Urbano",2025-12-31,81.32,58.90,59.00,58.27,-1,1,1,-1,1,2,2,1,1.50
1,"Centro Urbano",2026-01-01,77.54,62.68,56.48,53.23,-1,1,-1,-1,2,3,1,2,1.50
1,"Centro Urbano",2026-01-02,75.44,63.73,55.43,49.03,-1,1,-1,-1,3,4,2,3,1.50
1,"Centro Urbano",2026-01-03,79.64,58.48,50.18,51.13,1,-1,-1,1,1,1,3,1,1.50
1,"Centro Urbano",2026-01-04,82.16,59.74,53.96,52.39,1,1,1,1,2,1,1,2,1.50
1,"Centro Urbano",2026-01-05,84.68,61.00,48.92,49.87,1,1,-1,-1,3,2,1,1,1.50
1,"Centro Urbano",2026-01-06,88.46,66.04,53.96,56.17,1,1,1,1,4,3,1,1,1.50
1,"Centro Urbano",2026-01-07,86.36,61.84,51.86,55.12,-1,-1,-1,-1,1,1,1,1,1.50
1,"Centro Urbano",2026-01-08,85.31,58.69,52.91,58.27,-1,-1,1,1,2,2,1,1,1.50
1,"Centro Urbano",2026-01-09,90.77,64.15,59.74,65.09,1,1,1,1,1,1,2,2,1.50
1,"Centro Urbano",2026-01-10,89.72,62.05,60.79,59.84,-1,-1,1,-1,1,1,3,1,1.50
1,"Centro Urbano",2026-01-11,94.63,63.69,52.60,63.12,1,1,-1,1,1,1,1,1,1.50
1,"Centro Urbano",2026-01-12,99.88,58.44,49.44,64.17,1,-1,-1,1,2,1,2,2,1.50
1,"Centro Urbano",2026-01-13,106.18,62.22,55.74,67.95,1,1,1,1,3,1,1,3,1.50
1,"Centro Urbano",2026-01-14,103.03,56.97,52.59,71.10,-1,-1,-1,1,1,1,1,4,1.50
1,"Centro Urbano",2026-01-15,97.78,58.02,54.69,66.90,-1,1,1,-1,2,1,1,1,1.50
1,"Centro Urbano",2026-01-16,102.82,51.72,55.95,69.42,1,-1,1,1,1,1,2,1,1.50
1,"Centro Urbano",2026-01-17,96.52,49.20,59.73,63.12,-1,-1,1,-1,1,2,3,1,1.50
1,"Centro Urbano",2026-01-18,94.00,55.50,57.21,68.16,-1,1,-1,1,2,1,1,1,1.50
1,"Centro Urbano",2026-01-18,102.19,62.05,49.02,74.71,1,1,-1,1,1,2,2,2,1.50
1,"Centro Urbano",2026-01-18,103.47,57.85,47.75,71.56,1,-1,-1,-1,2,1,3,1,1.50
2,"Zona Industrial",2025-12-22,89.80,70.96,42.60,59.60,1,1,-1,-1,2,1,1,2,2.00
2,"Zona Industrial",2025-12-23,82.80,68.16,46.80,58.20,-1,-1,1,-1,1,1,1,3,2.00
2,"Zona Industrial",2025-12-24,88.40,65.36,48.20,65.20,1,-1,1,1,1,2,2,1,2.00
2,"Zona Industrial",2025-12-25,86.40,67.36,56.20,73.20,-1,1,1,1,1,1,3,2,2.00
2,"Zona Industrial",2025-12-26,82.20,60.36,54.80,71.80,-1,-1,-1,-1,2,1,1,1,2.00
2,"Zona Industrial",2025-12-27,79.40,64.56,56.20,76.00,-1,1,1,1,3,1,1,1,2.00
2,"Zona Industrial",2025-12-28,83.60,68.76,52.00,80.20,1,1,-1,1,1,2,1,2,2.00
2,"Zona Industrial",2025-12-29,90.88,77.86,53.82,87.48,1,1,1,1,2,3,1,3,2.00
